kind,outcome,model,b0,b1
bat,Y1,C,1.0262453023269569,
bat,Y1,A,0.8764744053793173,0.4857377501372181
bat,Y1,B,0.5189666845530647,1.6944547607713933
bat,Y2,C,0.22733471301293345,
bat,Y2,A,0.07977268980015234,0.5659431342356174
bat,Y2,B,0.06749350655396688,0.5591359182602622
bat,Y3,C,0.0787258015259658,
bat,Y3,A,0.027346503266530608,0.7689329743721309
bat,Y3,B,0.18813950658007647,-0.34178672072654637
bat,Y4,C,0.03341932519022162,
bat,Y4,A,0.01644741891165605,0.5322247242701409
bat,Y4,B,0.014233136758014743,0.40807997163877685
pit,P1,C,0.1252089459726178,
pit,P1,A,0.09186996997251867,0.32568276155021336
pit,P1,B,-0.0807141491470237,0.7658513454056958
pit,P2,C,-0.25090980427189524,
pit,P2,A,-0.598353960580105,0.8635667993771481
pit,P2,B,-1.0038562956277353,2.205661501321352
pit,P3,C,0.01750575447983834,
pit,P3,A,0.01315625322956314,0.11894010485708124
pit,P3,B,0.0177799211843329,-0.005108873172440741
