m,s,r,g,level,thin,delta,se,n,slope,callup_first,demotion_first,same_day
woba,2023,bat,IL,"s,r,g",False,-0.08337239612451358,0.005428173859248687,137,0.1899948466009659,-0.08442977195786594,-0.08070738487513868,
woba,2023,bat,PCL,"s,r,g",False,-0.11122716987178462,0.007117028398121065,63,0.2300718390962099,-0.11054633057078549,-0.11274875428845622,
woba,2024,bat,IL,"s,r,g",False,-0.07480333857367313,0.0050091014662217185,115,0.24882553109425667,-0.07541323636271793,-0.07390262476312663,
woba,2024,bat,PCL,"s,r,g",False,-0.10284370297382894,0.006221634041430373,68,0.36606246797282954,-0.10147929105325824,-0.10516843641638966,
woba,2025,bat,IL,"s,r,g",False,-0.07540559161599641,0.005826302570811823,128,0.15197731875545373,-0.06727045671090469,-0.09070512292495145,
woba,2025,bat,PCL,"s,r,g",False,-0.10102760195848377,0.006511122827104525,69,0.03544792169309337,-0.09986231881380041,-0.10426552321625786,
xwoba,2023,bat,IL,"s,r,g",False,-0.04519583655451269,0.004005750690975918,137,0.33618760558344346,-0.04586867101466234,-0.04350002381820213,
xwoba,2023,bat,PCL,"s,r,g",False,-0.0560280527808911,0.005216618120343315,63,0.24575628033972524,-0.05793228807465453,-0.05177234259433946,
xwoba,2024,bat,IL,"s,r,g",False,-0.03490989109494738,0.0037202472916287315,115,0.2674197265796855,-0.036700270255841445,-0.032265809963160336,
xwoba,2024,bat,PCL,"s,r,g",False,-0.04637568913003568,0.005362279817177917,68,0.5064393879311122,-0.05161044160747823,-0.03745653211860457,
xwoba,2025,bat,IL,"s,r,g",False,-0.03382321177624828,0.004305441866855684,128,0.35564093513441436,-0.027827839325728125,-0.04509854888936345,
xwoba,2025,bat,PCL,"s,r,g",False,-0.051812391120507985,0.004563904666469276,69,0.39479848744692136,-0.04922070655657089,-0.059013791553788296,
xwoba,2023,SP,IL,"s,r,g",False,0.031723580529215624,0.005490938483942259,62,0.1498208684559749,0.03152075654882346,0.03216081907933894,
xwoba,2023,SP,PCL,"s,r,g",False,0.030462347847092803,0.008177522787071246,20,0.25664141982483607,0.03329066410391139,0.02075028703997136,
xwoba,2024,SP,IL,"s,r,g",False,0.03826949196812667,0.004426153277140445,56,0.32241802828875393,0.037956061803108516,0.03941604143773102,
xwoba,2024,SP,PCL,"s,r,g",False,0.04858679534875339,0.00643106232382866,29,0.6731704668424021,0.04512493732684147,0.055529571617663434,
xwoba,2025,SP,IL,"s,r,g",False,0.04015452289017884,0.005921769045481396,62,0.07013609402228935,0.04135929051232711,0.03647957001769435,
xwoba,2025,SP,PCL,"s,r,g",False,0.04664582308765899,0.007665913108197562,29,0.26012410446734346,0.04265664260197748,0.05469201937459965,
xwoba,2023,RP,IL,"s,r,g",False,0.03502575796849416,0.00460168372827804,101,0.2594633108746505,0.030106525694203443,0.046496522009439274,
xwoba,2023,RP,PCL,"s,r,g",False,0.0442229079603946,0.006400938436190402,49,0.0775218331328152,0.04560586907296473,0.0414813257793572,
xwoba,2024,RP,IL,"s,r,g",False,0.04127172098363799,0.00645062430326276,83,0.12369265454453697,0.03822201143966191,0.05193637492480176,
xwoba,2024,RP,PCL,"s,r,g",False,0.04894878996728318,0.008255712673880766,44,0.04626537591511,0.04617111619492544,0.05304869130813334,
xwoba,2025,RP,IL,"s,r,g",False,0.0479095742689864,0.004910674562983447,106,0.2812730465000603,0.042839205266475514,0.06035568972459519,
xwoba,2025,RP,PCL,"s,r,g",False,0.05238702120311645,0.008393869779613065,39,0.023458839613019623,0.04597116442633615,0.07522468436972668,
k,2023,bat,IL,"s,r,g",False,0.05266513314957973,0.004299317171303037,137,0.6627033026550351,0.056744594372830776,0.042383254456660975,
k,2023,bat,PCL,"s,r,g",False,0.060489382042003194,0.007242672272098525,63,0.9199023742785526,0.05826530330023084,0.06545989938723482,
