kind,measure,k,r_half,rho_full,nbar,n_playerseasons,mu
bat,bb,143.95500350742645,0.505481730288145,0.6715215736180301,294.29296636085627,1635,0.06681895558112685
bat,brl,132.0533271327602,0.5270293092798619,0.6902674442161243,294.29296636085627,1635,0.04701575614004908
bat,chase,112.56547015146117,0.7101954070203531,0.8305429942157493,551.7060931899641,1953,0.3201227502973981
bat,hr,255.93246174629684,0.3650562378225379,0.5348588984214384,294.29296636085627,1635,0.031888609274662624
bat,k,67.3400486046317,0.6860406663103948,0.8137889909994578,294.29296636085627,1635,0.2607364844386415
bat,whiff,75.76616390881898,0.7598937358638065,0.8635677488684608,479.5729386892178,1892,0.2858718269366574
bat,woba,387.55881662503896,0.2751917425055671,0.43160841359410806,294.29296636085627,1635,0.3083369511744356
bat,xwoba,209.9269391023982,0.412090270509907,0.5836599530724064,294.29296636085627,1635,0.2993757222193152
pit,brl,543.6542659026285,0.17685578565264412,0.30055642808360916,233.61253263707573,1915,0.05366480929170978
pit,csw,490.6167418870472,0.4080376815041558,0.5795834683461936,676.3610169491525,2950,0.268881286629532
pit,fipn,302.9606935726877,0.2782645550493205,0.4353786607790028,233.61253263707573,1915,0.40233616734548566
pit,hr,552.3651520213798,0.1745535794226107,0.29722540117483287,233.61253263707573,1915,0.03656883652071415
pit,kbb,147.8549323224221,0.44134261810322084,0.6124048682942842,233.61253263707573,1915,0.1023664127674714
pit,xwoba,274.8559016312654,0.2982321905890797,0.4594435305964109,233.61253263707573,1915,0.3413699204999361
